nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
32190,1,0,0,16250,0,0,0,0,0,0,16250,0,0,16250,0,0,2400,2400,154.84833232,0,526.24,0,681.08833232,3081.0883323,19331.088332,0,0
32209,1,0,0,0,0,0,0,0,2400,0,0,-2400,-2400,-2400,0,0,5400,5400,185.23846387,0,0,0,185.23846387,5585.2384639,3185.2384639,0,0
32209,2,0,0,17680,0,0,0,0,0,0,17680,0,0,17680,0,0,0,0,0,0,0,0,0,0,17680,0,0
32210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.673401486,0,0,0,51.673401486,51.673401486,51.673401486,0,0
32210,2,0,0,17680,0,0,0,0,0,0,17680,0,0,17680,0,0,0,0,0,0,0,0,0,0,17680,0,0
32288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,50.755842259,0,0,0,50.755842259,50.755842259,35050.755842,35000,0
32288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,500,500,0
32318,1,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,4800,4800,17.205370257,0,0,0,17.205370257,4817.2053703,17817.20537,0,0
32320,1,28000,593.20595434,0,0,0,0,0,0,28593.205954,0,0,0,0,0,0,7200,7200,43.013425644,0,765.59445389,1766.6318456,-958.0239661,6241.9760339,34835.181988,0,0
32320,2,37000,0,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,0,0
32470,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,8400,8400,144.03232859,0,0,0,144.03232859,8544.0323286,29344.032329,0,0
32470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,10000,10000,0
32471,1,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,3600,3600,24.395989786,0,0,0,24.395989786,3624.3959898,11684.39599,0,0
32524,1,0,0,31941,0,0,0,0,0,0,31941,0,0,31941,0,0,11500,11500,911.88462364,5326.9352953,36036.574841,0,42275.39476,53775.39476,85716.39476,0,0
