nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
893824,1,,2,2,,1,2,,1965,2,1,1,1,1,1,2,1,1,0
893826,1,,1,2,,2,,2,,3,1,2,1,,,,,1,0
893879,1,,1,2,,1,1,2,,2,1,2,1,,,,,1,1
893885,2,,3,1,3,2,,,1994,3,1,2,1,2,1,2,1,3,1
893891,2,,2,2,,1,3,,1965,2,1,2,1,2,1,2,1,2,1
893895,2,,2,2,,1,3,,1997,2,1,2,1,2,1,2,1,1,1
893897,2,,5,1,4,2,,,1989,2,1,2,1,3,1,2,1,3,1
893905,2,,4,1,2,1,2,,2008,2,,3,,2,2,3,2,3,1
893921,1,,1,2,,1,2,,,4,1,4,1,,,,,1,1
893922,1,,1,2,,1,3,,,1,1,1,1,,,,,1,1
893924,1,,5,1,4,2,,,2010,2,1,2,1,2,1,2,1,1,1
893926,1,,1,1,2,1,5,2,,2,1,2,1,,,,,1,1
